slug,title,authors,year,link,priority,status,decision
shriberg-2004,The ICSI Meeting Recorder Dialog Act (MRDA) Corpus,"Shriberg, Dhillon, Bhagat, Ang, Carvey",2004,https://aclanthology.org/W04-2319/,P0,unread,
zelasko-2021,"What Helps Transformers Recognize Conversational Structure? Importance of Context, Punctuation, and Labels in Dialog Act Recognition","Żelasko, Pappagari, Dehak",2021,https://doi.org/10.1162/tacl_a_00420,P0,unread,
